,Unnamed: 0.1,Unnamed: 0,username,anime_id,my_score,user_id,gender,title,type,source,score,scored_by,rank,popularity,genre,Username,Gender,Location,Days Watched,Mean Score,Watching,Completed,On Hold,Dropped,Plan to Watch,Total Entries,Rewatched,Episodes Watched,Age,location,lat,lon,city,state,country
10,10,10,Damonashu,7,7,37326,Male,Witch Hunter Robin,TV,Original,7.34,31908,2292.0,1104,"Action, Magic, Police, Supernatural, Drama, Mystery",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
11,11,11,Damonashu,19,10,37326,Male,Monster,TV,Manga,8.69,118856,49.0,152,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
12,12,12,Damonashu,20,6,37326,Male,Naruto,TV,Manga,7.88,648605,745.0,10,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
13,13,13,Damonashu,24,6,37326,Male,School Rumble,TV,Manga,8.02,101593,537.0,347,"Comedy, Romance, School, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
14,14,14,Damonashu,30,7,37326,Male,Neon Genesis Evangelion,TV,Original,8.32,364012,223.0,48,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
15,15,15,Damonashu,32,6,37326,Male,Neon Genesis Evangelion: The End of Evangelion,Movie,Original,8.48,193744,113.0,216,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
16,16,16,Damonashu,45,9,37326,Male,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,Manga,8.4,135713,168.0,240,"Action, Adventure, Comedy, Historical, Romance, Samurai",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
17,17,17,Damonashu,57,9,37326,Male,Beck,TV,Manga,8.37,87024,181.0,414,"Comedy, Drama, Music, Shounen, Slice of Life",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
18,18,18,Damonashu,60,7,37326,Male,Chrno Crusade,TV,Manga,7.76,78792,961.0,485,"Action, Historical, Demons, Supernatural, Romance",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
19,19,19,Damonashu,68,5,37326,Male,Black Cat,TV,Manga,7.49,89185,1656.0,430,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
20,20,20,Damonashu,107,0,37326,Male,Ou Dorobou Jing,TV,Manga,7.32,10886,2357.0,2244,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
21,21,21,Damonashu,121,8,37326,Male,Fullmetal Alchemist,TV,Manga,8.29,491403,247.0,21,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
22,22,22,Damonashu,130,0,37326,Male,Saiyuuki Reload,TV,Manga,7.51,8932,1617.0,2507,"Action, Adventure, Comedy, Drama, Fantasy, Josei",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
23,23,23,Damonashu,135,0,37326,Male,Hikaru no Go,TV,Manga,8.17,39814,349.0,1001,"Comedy, Game, Shounen, Supernatural",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
24,24,24,Damonashu,145,7,37326,Male,Kareshi Kanojo no Jijou,TV,Manga,7.64,47303,1250.0,702,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
25,25,25,Damonashu,150,3,37326,Male,Blood+,TV,Original,7.76,108174,960.0,277,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
26,26,26,Damonashu,164,8,37326,Male,Mononoke Hime,Movie,Original,8.8,333730,29.0,79,"Action, Adventure, Fantasy",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
27,27,27,Damonashu,165,0,37326,Male,RahXephon,TV,Original,7.5,31206,1644.0,1046,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
28,28,28,Damonashu,198,0,37326,Male,Speed Grapher,TV,Original,7.43,29677,1910.0,1073,"Action, Mystery, Super Power",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
29,29,29,Damonashu,199,5,37326,Male,Sen to Chihiro no Kamikakushi,Movie,Original,8.92,498602,19.0,39,"Adventure, Supernatural, Drama",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
30,30,30,Damonashu,202,8,37326,Male,Wolf&#039;s Rain,TV,Original,7.9,90880,709.0,359,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
31,31,31,Damonashu,205,7,37326,Male,Samurai Champloo,TV,Original,8.5,298034,105.0,67,"Action, Adventure, Comedy, Historical, Samurai, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
32,32,32,Damonashu,209,0,37326,Male,R.O.D the TV,TV,Novel,7.61,22411,1339.0,1471,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
33,33,33,Damonashu,226,0,37326,Male,Elfen Lied,TV,Manga,7.75,514656,982.0,16,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
34,34,34,Damonashu,227,7,37326,Male,FLCL,OVA,Original,8.07,231632,460.0,117,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
35,35,35,Damonashu,228,3,37326,Male,Jigoku Shoujo,TV,Original,7.75,84656,992.0,334,"Mystery, Horror, Psychological, Supernatural",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
36,36,36,Damonashu,235,7,37326,Male,Detective Conan,TV,Manga,8.25,77883,272.0,515,"Adventure, Mystery, Comedy, Police, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
37,37,37,Damonashu,237,8,37326,Male,Eureka Seven,TV,Original,8.15,127472,370.0,203,"Sci-Fi, Adventure, Drama, Romance, Mecha",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
38,38,38,Damonashu,239,0,37326,Male,Gankutsuou,TV,Novel,8.21,42484,303.0,634,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
39,39,39,Damonashu,245,8,37326,Male,Great Teacher Onizuka,TV,Manga,8.74,187442,37.0,146,"Comedy, Drama, School, Shounen, Slice of Life",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
40,40,40,Damonashu,270,2,37326,Male,Hellsing,TV,Manga,7.6,220299,1349.0,125,"Action, Horror, Supernatural, Vampire, Seinen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
41,41,41,Damonashu,276,0,37326,Male,Mahoromatic: Automatic Maiden,TV,Manga,7.26,19769,2577.0,1710,"Comedy, Ecchi, Military, Romance, Sci-Fi",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
42,42,42,Damonashu,323,9,37326,Male,Mousou Dairinin,TV,Original,7.73,76944,1047.0,419,"Mystery, Dementia, Police, Psychological, Supernatural, Drama, Thriller",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
43,43,43,Damonashu,339,6,37326,Male,Serial Experiments Lain,TV,Original,8.0,118435,560.0,224,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
44,44,44,Damonashu,355,0,37326,Male,Shakugan no Shana,TV,Novel,7.66,181957,1207.0,144,"Action, Drama, Fantasy, Romance, School, Supernatural",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
45,45,45,Damonashu,356,0,37326,Male,Fate/stay night,TV,Novel,7.52,274418,1570.0,82,"Action, Supernatural, Magic, Romance, Fantasy",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
46,46,46,Damonashu,387,7,37326,Male,Haibane Renmei,TV,Other,8.04,60427,505.0,530,"Slice of Life, Mystery, Psychological, Drama, Fantasy",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
47,47,47,Damonashu,405,4,37326,Male,Blood: The Last Vampire,Movie,Original,6.98,45202,3627.0,1070,"Horror, Supernatural, Vampire",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
48,48,48,Damonashu,419,3,37326,Male,Samurai Deeper Kyou,TV,Manga,7.0,20679,3578.0,1707,"Adventure, Comedy, Historical, Supernatural, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
49,49,49,Damonashu,431,7,37326,Male,Howl no Ugoku Shiro,Movie,Novel,8.73,334114,43.0,89,"Adventure, Drama, Fantasy, Romance",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
50,50,50,Damonashu,457,7,37326,Male,Mushishi,TV,Manga,8.74,147314,38.0,115,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
51,51,51,Damonashu,467,0,37326,Male,Ghost in the Shell: Stand Alone Complex,TV,Manga,8.46,110294,124.0,273,"Action, Military, Sci-Fi, Police, Mecha, Seinen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
52,52,52,Damonashu,486,0,37326,Male,Kino no Tabi: The Beautiful World,TV,Novel,8.44,51109,140.0,560,"Action, Adventure, Slice of Life, Psychological",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
53,53,53,Damonashu,534,0,37326,Male,Slayers,TV,Novel,7.85,42588,804.0,949,"Adventure, Comedy, Demons, Magic, Fantasy",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
54,54,54,Damonashu,578,0,37326,Male,Hotaru no Haka,Movie,Novel,8.55,146968,83.0,284,"Drama, Historical",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
55,55,55,Damonashu,732,3,37326,Male,Vampire Hunter D,Movie,Novel,7.22,29500,2750.0,1536,"Action, Sci-Fi, Horror, Supernatural, Vampire",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
56,56,56,Damonashu,861,0,37326,Male,xxxHOLiC,TV,Manga,8.08,77193,459.0,414,"Mystery, Comedy, Psychological, Supernatural, Drama",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
57,57,57,Damonashu,918,0,37326,Male,Gintama,TV,Manga,9.01,141830,15.0,95,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
58,58,58,Damonashu,934,5,37326,Male,Higurashi no Naku Koro ni,TV,Novel,8.1,221985,437.0,97,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
59,59,59,Damonashu,1136,0,37326,Male,Betterman,TV,Original,6.7,2814,4744.0,3706,"Action, Adventure, Psychological, Comedy, Mecha, Drama, Horror, Mystery, Sci-Fi",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
60,60,60,Damonashu,1482,5,37326,Male,D.Gray-man,TV,Manga,8.16,171370,355.0,106,"Action, Adventure, Comedy, Super Power, Demons, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
61,61,61,Damonashu,1535,7,37326,Male,Death Note,TV,Manga,8.67,1009477,51.0,1,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
62,62,62,Damonashu,1575,5,37326,Male,Code Geass: Hangyaku no Lelouch,TV,Original,8.79,627740,30.0,9,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
63,63,63,Damonashu,1604,5,37326,Male,Katekyo Hitman Reborn!,TV,Manga,8.31,145865,230.0,173,"Action, Comedy, Shounen, Super Power",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
64,64,64,Damonashu,1689,7,37326,Male,Byousoku 5 Centimeter,Movie,Original,7.95,280982,610.0,96,"Drama, Romance, Slice of Life",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
65,65,65,Damonashu,1818,0,37326,Male,Claymore,TV,Manga,7.87,207352,752.0,119,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
66,66,66,Damonashu,1829,6,37326,Male,Gedo Senki,Movie,Novel,7.13,44087,3072.0,1125,"Adventure, Fantasy, Magic",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
67,67,67,Damonashu,1943,0,37326,Male,Paprika,Movie,Novel,8.12,124537,416.0,308,"Sci-Fi, Mystery, Dementia, Horror, Psychological, Thriller, Fantasy",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
68,68,68,Damonashu,2001,6,37326,Male,Tengen Toppa Gurren Lagann,TV,Original,8.74,449656,41.0,24,"Action, Adventure, Comedy, Mecha, Sci-Fi",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
69,69,69,Damonashu,2025,7,37326,Male,Darker than Black: Kuro no Keiyakusha,TV,Original,8.21,285107,299.0,61,"Action, Sci-Fi, Mystery, Super Power",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
70,70,70,Damonashu,2034,0,37326,Male,Lovely★Complex,TV,Manga,8.18,159785,335.0,209,"Comedy, Romance, Shoujo",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
71,71,71,Damonashu,2164,0,37326,Male,Dennou Coil,TV,Original,8.15,29243,367.0,902,"Adventure, Comedy, Drama, Mystery, Sci-Fi",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
72,72,72,Damonashu,2167,7,37326,Male,Clannad,TV,Novel,8.21,423019,298.0,31,"Slice of Life, Comedy, Romance, Supernatural, School, Drama",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
73,73,73,Damonashu,2236,8,37326,Male,Toki wo Kakeru Shoujo,Movie,Novel,8.35,249571,194.0,113,"Sci-Fi, Adventure, Drama, Romance",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
74,74,74,Damonashu,2251,9,37326,Male,Baccano!,TV,Novel,8.49,221916,107.0,87,"Action, Mystery, Comedy, Historical, Supernatural",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
75,75,75,Damonashu,2593,8,37326,Male,Kara no Kyoukai 1: Fukan Fuukei,Movie,Novel,7.75,108456,993.0,309,"Action, Mystery, Supernatural, Thriller",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
